#group,false,false,false,false,false,false
#datatype,string,string,double,double,double,dateTime:RFC3339
#default,,,,,,
,source,station,status_circle,status_district,status_piccadilly,time
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:54:21.311934277Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T13:59:22.160251802Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:04:22.93001886Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:09:24.056373665Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:14:24.947967943Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:19:25.762191107Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:24:26.691790836Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:29:27.373496251Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:34:28.103050033Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:39:28.855257413Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:44:29.546412116Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:49:31.701068356Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:54:32.500683488Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T14:59:35.330025842Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:04:39.085627534Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:09:39.852978942Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:14:42.023188157Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:19:42.65868068Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:24:51.170085718Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:29:51.940696814Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:34:52.662506196Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:39:53.868171434Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:44:54.773953789Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:49:56.168836138Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T15:54:59.316225601Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T16:00:02.48208325Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T16:05:03.458794783Z
,tfl_api,Gloucester Road,10,6,10,2026-03-19T16:10:04.572794798Z
,tfl_api,Gloucester Road,10,6,10,2026-03-19T16:15:06.114699269Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:20:08.044345934Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:25:08.837783703Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:30:14.210552078Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:35:14.900671451Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:40:15.600628916Z
,tfl_api,Gloucester Road,10,9,10,2026-03-19T16:45:16.523051787Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T16:50:18.21434152Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T16:55:18.953216145Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:00:19.700031767Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:05:20.426960769Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:10:21.580047418Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:15:23.037908334Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:20:24.035627516Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:25:25.298679485Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:30:26.297472725Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:35:27.03594785Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:40:27.799865134Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:45:29.010784447Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:50:32.245613354Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T17:55:34.063142477Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:00:35.668502275Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:05:36.692173156Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:10:37.494801727Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:15:38.802350166Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:20:40.476021692Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:25:42.079452948Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:30:44.410261788Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:35:46.603033089Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:40:47.345192357Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:45:49.720023004Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:50:50.999381804Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T18:55:54.972683056Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:00:55.71494958Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:05:56.467244657Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:10:57.245059303Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:15:58.054629029Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:20:58.833314432Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:25:59.654908826Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:31:00.862600506Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:36:02.960003522Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:41:04.886582895Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:46:05.667605735Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:51:06.475566113Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T19:56:10.245233811Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:01:12.582057896Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:06:13.275724457Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:11:14.736054852Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:16:15.495590818Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:21:16.202483444Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:26:16.954598402Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:31:18.305495577Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:36:20.365611422Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:41:21.298362306Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:46:22.229412961Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:51:22.938048191Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T20:56:23.656067488Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:01:25.189360535Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:06:25.92214723Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:11:26.657985019Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:16:27.400374061Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:21:28.467049397Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:26:29.780786004Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:31:30.718373162Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:36:31.411551641Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:41:32.435568538Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:46:33.121354085Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:51:33.949812523Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T21:56:34.846869259Z
,tfl_api,Gloucester Road,10,10,10,2026-03-19T22:01:35.911227686Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:06:36.671564294Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:11:37.449770851Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:16:38.144384674Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:21:38.798070428Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:26:39.552766198Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:31:42.894767521Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:36:43.738810789Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:41:44.516615327Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:46:47.436054149Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:51:49.181765323Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T22:56:49.903367414Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T23:01:50.770518159Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T23:06:51.747338646Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T23:11:52.607884642Z
,tfl_api,Gloucester Road,9,10,10,2026-03-19T23:16:53.390806325Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:03:44.821564586Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:08:45.418979816Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:13:46.117669391Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:18:46.81718368Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:23:47.442269083Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:28:48.079725274Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:33:48.765888056Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:38:49.329341087Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:43:49.982880999Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:48:50.713929155Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:53:51.402825823Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T00:58:52.039256484Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T01:03:52.656265376Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T01:08:53.326658885Z
,tfl_api,Gloucester Road,10,10,9,2026-03-11T01:13:53.961148895Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:18:54.651342383Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:23:55.309421707Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:28:55.971884211Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:33:56.606301638Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:38:57.272495404Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:43:57.909056443Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:48:58.618744731Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:54:01.443422756Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T01:59:02.091450494Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:04:02.73567207Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:09:03.784454792Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:14:04.700738456Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:19:05.394264775Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:24:06.033711959Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:29:06.745838739Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:34:07.420879536Z
,tfl_api,Gloucester Road,20,20,20,2026-03-11T02:39:08.083334196Z
