#group,false,false,false,false,false
#datatype,double,string,string,string,dateTime:RFC3339
#default,,,,,
,air_quality_band,air_quality_text,source,station,time
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:11:23.16367382Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:16:24.149034368Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:21:24.859832939Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:26:27.524896004Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:31:28.236685523Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:36:28.961540587Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:41:30.060156719Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:46:32.751779543Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:51:34.272941648Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T12:56:38.437214921Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:01:39.297821021Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:06:39.996118821Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:11:40.997264867Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:16:41.673759458Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:21:42.394888343Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:26:43.136759979Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:31:43.882178533Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:36:44.626444858Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:41:45.417919232Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:46:47.717062539Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:51:49.876647802Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T13:56:52.715188619Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:01:53.95895677Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:06:54.679917501Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:11:55.83675869Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:16:56.540539098Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:21:57.229436438Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:26:58.544274087Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:31:59.320911962Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:37:00.654463888Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:42:01.559226043Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:47:02.373754617Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:52:09.888521271Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T14:57:11.95446813Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:02:12.654313379Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:07:14.664337121Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:12:16.236955203Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:17:17.183640919Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:22:18.614111317Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:27:20.549372496Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:32:21.456658223Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:37:22.244799994Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:42:22.939348279Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:47:23.634754958Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:52:24.281926675Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T15:57:28.750195786Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:02:30.152321609Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:07:32.506994369Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:12:34.643278415Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:17:35.326656639Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:22:36.332504395Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:27:37.192689086Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:32:37.863953206Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:37:39.831741349Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:42:40.757199281Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:47:41.959964231Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:52:43.395814049Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T16:57:44.622221765Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:02:46.009548877Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:07:49.369552109Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:12:50.044007597Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:17:50.716101717Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:22:51.41281269Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:27:52.450943001Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:32:53.267619228Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:37:54.225501427Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:42:55.295248859Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:47:56.092587694Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:52:56.830319661Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T17:57:57.512129153Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:02:58.185762543Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:08:01.543078849Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:13:03.927599259Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:18:06.786552721Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:23:09.264894194Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:28:10.144706433Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:33:10.787008589Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:38:11.594766404Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:43:12.719053609Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:48:13.843619522Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:53:14.786959749Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T18:58:15.491177609Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:03:16.227457788Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:08:17.066890545Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:13:17.831039475Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:18:18.754568992Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:23:22.018048169Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:28:24.519947053Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:33:25.176320949Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:38:25.860177289Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:43:28.306166105Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:48:29.277130689Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:53:31.916185689Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T19:58:33.150797651Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:03:36.200974134Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:08:37.26351078Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:13:38.315617966Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:18:39.330369688Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:23:41.938662619Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:28:43.199995705Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:33:44.00416324Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:38:46.085643989Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:43:53.247074382Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:48:53.922727744Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:53:55.363002758Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T20:58:56.037874484Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:03:56.908030235Z
